Year,Units,Series,Territorio,Value
2015,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,España,29.17
2014,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,España,27.97
2011,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,Aragón,24.52
2018,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,España,32.54
2017,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,España,31.55
2016,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,España,30.4
2013,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,España,26.21
2021,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,España,35.18
2018,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,Aragón,33.47
2010,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,España,22.91
2022,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,Aragón,36.59
2013,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,Aragón,27.23
2022,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,España,36.04
2012,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,España,24.6
2020,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,España,34.21
2019,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,Aragón,34.59
2017,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,Aragón,30.53
2014,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,Aragón,28.66
2011,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,España,23.92
2012,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,Aragón,25.45
2010,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,Aragón,23.51
2019,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,España,33.28
2021,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,Aragón,35.92
2016,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,Aragón,31.55
2015,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,Aragón,30.8
2020,Por 100 habitantes,Número de líneas de banda ancha fija por cada 100 habitantes,Aragón,35.64
2020,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,3.86
2010,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,Aragón,19.92
2019,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,5.52
2015,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,Aragón,19.05
2014,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,Aragón,20.95
2021,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,2.67
2017,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,Aragón,12.07
2015,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,16.53
2012,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,19.01
2010,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,18.1
2022,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,Aragón,2.92
2022,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,1.77
2011,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,Aragón,20.55
2011,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,18.68
2019,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,Aragón,7.0
2012,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,Aragón,21.28
2018,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,8.03
2014,Por 100 habitantes,Número de líneas de banda ancha fija con tecnología de acceso DSL por cada 100 habitantes,España,19.36
