Year,Units,Series,Territorio,Value
2022,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,España,4.83
2018,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,España,1.84
2017,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,Aragón,2.4
2019,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,Aragón,0.12
2017,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,España,2.79
2015,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,España,3.95
2013,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,España,-1.05
2022,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,Aragón,3.81
2016,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,España,2.94
2012,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,Aragón,-4.59
2014,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,Aragón,2.65
2014,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,España,1.72
2020,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,España,-11.65
2016,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,Aragón,3.54
2011,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,Aragón,-1.7
2013,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,Aragón,0.81
2020,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,Aragón,-9.26
2021,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,España,6.35
2015,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,Aragón,2.33
2012,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,España,-2.99
2021,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,Aragón,5.33
2018,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,Aragón,2.64
2010,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,España,-0.26
2010,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,Aragón,0.26
2011,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,España,-1.18
2019,Porcentaje,Tasa de crecimiento anual del PIB real per cápita,España,1.18
