Year,Units,Series,Territorio,Value
2013,Por 1.000,Incidencia de la malaria,Aragón,0
2010,Por 1.000,Incidencia de la malaria,Aragón,0
2012,Por 1.000,Incidencia de la malaria,Aragón,0
2014,Por 1.000,Incidencia de la malaria,Aragón,0
2011,Por 1.000,Incidencia de la malaria,Aragón,0
2015,Por 1.000,Incidencia de la malaria,España,0
2016,Por 1.000,Incidencia de la malaria,España,0
2014,Por 1.000,Incidencia de la malaria,España,0
2013,Por 1.000,Incidencia de la malaria,España,0
2018,Por 1.000,Incidencia de la malaria,Aragón,0
2019,Por 1.000,Incidencia de la malaria,España,0
2018,Por 1.000,Incidencia de la malaria,España,0
2010,Por 1.000,Incidencia de la malaria,España,0
2017,Por 1.000,Incidencia de la malaria,Aragón,0
2011,Por 1.000,Incidencia de la malaria,España,0
2017,Por 1.000,Incidencia de la malaria,España,0
2016,Por 1.000,Incidencia de la malaria,Aragón,0
2012,Por 1.000,Incidencia de la malaria,España,0
2019,Por 1.000,Incidencia de la malaria,Aragón,0
2015,Por 1.000,Incidencia de la malaria,Aragón,0
2015,Por 1.000,Incidencia de la malaria en los hombres,Aragón,0
2015,Por 1.000,Incidencia de la malaria en los hombres,España,0
2011,Por 1.000,Incidencia de la malaria en los hombres,Aragón,0
2019,Por 1.000,Incidencia de la malaria en los hombres,España,0
2018,Por 1.000,Incidencia de la malaria en los hombres,Aragón,0
2013,Por 1.000,Incidencia de la malaria en los hombres,Aragón,0
2017,Por 1.000,Incidencia de la malaria en los hombres,Aragón,0
2019,Por 1.000,Incidencia de la malaria en los hombres,Aragón,0
2012,Por 1.000,Incidencia de la malaria en los hombres,Aragón,0
2013,Por 1.000,Incidencia de la malaria en los hombres,España,0
2010,Por 1.000,Incidencia de la malaria en los hombres,Aragón,0
2014,Por 1.000,Incidencia de la malaria en los hombres,España,0
2018,Por 1.000,Incidencia de la malaria en los hombres,España,0
2012,Por 1.000,Incidencia de la malaria en los hombres,España,0
2017,Por 1.000,Incidencia de la malaria en los hombres,España,0
2016,Por 1.000,Incidencia de la malaria en los hombres,Aragón,0
2014,Por 1.000,Incidencia de la malaria en los hombres,Aragón,0
2010,Por 1.000,Incidencia de la malaria en los hombres,España,0
2011,Por 1.000,Incidencia de la malaria en los hombres,España,0
2016,Por 1.000,Incidencia de la malaria en los hombres,España,0
2018,Por 1.000,Incidencia de la malaria en las mujeres,Aragón,0
2010,Por 1.000,Incidencia de la malaria en las mujeres,Aragón,0
2017,Por 1.000,Incidencia de la malaria en las mujeres,España,0
2019,Por 1.000,Incidencia de la malaria en las mujeres,España,0
2012,Por 1.000,Incidencia de la malaria en las mujeres,España,0
2010,Por 1.000,Incidencia de la malaria en las mujeres,España,0
2016,Por 1.000,Incidencia de la malaria en las mujeres,Aragón,0
2013,Por 1.000,Incidencia de la malaria en las mujeres,Aragón,0
2014,Por 1.000,Incidencia de la malaria en las mujeres,España,0
2011,Por 1.000,Incidencia de la malaria en las mujeres,España,0
2011,Por 1.000,Incidencia de la malaria en las mujeres,Aragón,0
2012,Por 1.000,Incidencia de la malaria en las mujeres,Aragón,0
2013,Por 1.000,Incidencia de la malaria en las mujeres,España,0
2014,Por 1.000,Incidencia de la malaria en las mujeres,Aragón,0
2015,Por 1.000,Incidencia de la malaria en las mujeres,España,0
2016,Por 1.000,Incidencia de la malaria en las mujeres,España,0
2015,Por 1.000,Incidencia de la malaria en las mujeres,Aragón,0
2019,Por 1.000,Incidencia de la malaria en las mujeres,Aragón,0
2017,Por 1.000,Incidencia de la malaria en las mujeres,Aragón,0
2018,Por 1.000,Incidencia de la malaria en las mujeres,España,0
