Year,Units,Series,Territorio,Value
2011,Porcentaje,Proporción de personas de 15 y más años que fuman a diario,Aragón,25.87
2020,Porcentaje,Proporción de personas de 15 y más años que fuman a diario,España,19.78
2020,Porcentaje,Proporción de personas de 15 y más años que fuman a diario,Aragón,17.72
2017,Porcentaje,Proporción de personas de 15 y más años que fuman a diario,España,22.08
2014,Porcentaje,Proporción de personas de 15 y más años que fuman a diario,España,22.98
2011,Porcentaje,Proporción de personas de 15 y más años que fuman a diario,España,23.95
2014,Porcentaje,Proporción de personas de 15 y más años que fuman a diario,Aragón,23.93
2017,Porcentaje,Proporción de personas de 15 y más años que fuman a diario,Aragón,24.1
