Year,Units,Series,Territorio,Value
2014,Porcentaje,Superficie de bosque en proporción a la superficie total,España,36.35
2015,Porcentaje,Superficie de bosque en proporción a la superficie total,España,36.36
2011,Porcentaje,Superficie de bosque en proporción a la superficie total,Aragón,32.34
2013,Porcentaje,Superficie de bosque en proporción a la superficie total,Aragón,32.34
2018,Porcentaje,Superficie de bosque en proporción a la superficie total,Aragón,32.34
2012,Porcentaje,Superficie de bosque en proporción a la superficie total,España,36.35
2016,Porcentaje,Superficie de bosque en proporción a la superficie total,Aragón,32.34
2016,Porcentaje,Superficie de bosque en proporción a la superficie total,España,36.32
2013,Porcentaje,Superficie de bosque en proporción a la superficie total,España,36.35
2010,Porcentaje,Superficie de bosque en proporción a la superficie total,España,36.32
2012,Porcentaje,Superficie de bosque en proporción a la superficie total,Aragón,32.34
2014,Porcentaje,Superficie de bosque en proporción a la superficie total,Aragón,32.34
2018,Porcentaje,Superficie de bosque en proporción a la superficie total,España,36.5
2011,Porcentaje,Superficie de bosque en proporción a la superficie total,España,36.31
2017,Porcentaje,Superficie de bosque en proporción a la superficie total,Aragón,32.34
2015,Porcentaje,Superficie de bosque en proporción a la superficie total,Aragón,32.34
2010,Porcentaje,Superficie de bosque en proporción a la superficie total,Aragón,32.34
2017,Porcentaje,Superficie de bosque en proporción a la superficie total,España,36.49
