Year,Units,Series,Territorio,Value
2015,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,30.52
2019,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,31.1
2018,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,35.02
2017,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,29.87
2017,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,36.11
2018,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,30.17
2014,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,31.31
2014,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,29.05
2016,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,27.92
2021,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,32.85
2016,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,33.86
2020,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,38.91
2020,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,35.15
2015,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Aragón,28.67
2021,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,42.28
2019,Porcentaje,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,37.96
