Year,Units,Series,Territorio,Value
2016,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Aragón,1
2015,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Aragón,1
2020,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1
2021,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1
2014,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Aragón,1
2015,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1
2011,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1
2016,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1
2014,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1
2018,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Aragón,1
2011,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Aragón,1
2017,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1
2010,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1
2018,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1
2017,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Aragón,1
2019,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Aragón,1
2012,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1
2010,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Aragón,1
2021,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Aragón,1
2013,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Aragón,1
2013,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1
2019,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1
2020,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Aragón,1
2012,"Lógica (1=Sí, 0=No)",Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Aragón,1
