Year,Units,Series,Territorio,Value
2015,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,7
2012,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,1
2016,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,7
2018,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,6
2020,Licencias,Número de licencias de Etiqueta Ecológica Europea,España,183
2022,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,9
2013,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,19
2017,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,8
2021,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,9
2014,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,11
2021,Licencias,Número de licencias de Etiqueta Ecológica Europea,España,289
2020,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,7
2019,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,17
2021,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,8
2019,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,12
2014,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,10
2016,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,8
2018,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,20
2015,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,6
2022,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,8
2021,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,España,973
2017,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,10
2020,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,2
2012,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,14
2013,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,4
2020,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,España,809
