Year,Units,Series,Territorio,Value
2012,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Aragón,17.18
2018,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Aragón,12.45
2012,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,España,18.12
2015,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Aragón,13.49
2011,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Aragón,15.84
2017,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,España,14.13
2013,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,España,18.04
2013,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Aragón,17.01
2014,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Aragón,13.81
2015,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,España,15.92
2010,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,España,18.74
2010,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Aragón,15.62
2014,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,España,16.57
2019,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,España,13.08
2019,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Aragón,12.73
2018,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,España,13.53
2016,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,España,14.23
2011,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,España,18.46
2016,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Aragón,13.13
2017,Porcentaje,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Aragón,13.53
