Year,Units,Series,Territorio,Value
2016,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Aragón,100
2010,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Aragón,100
2014,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1
2010,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1
2011,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Aragón,100
2021,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1
2016,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1
2014,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Aragón,100
2013,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Aragón,100
2013,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1
2020,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Aragón,100
2018,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Aragón,100
2011,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1
2015,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Aragón,100
2020,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1
2018,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1
2012,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Aragón,100
2019,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1
2019,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Aragón,100
2012,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1
2017,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1
2021,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Aragón,100
2015,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1
2017,"Lógica (1=Sí, 0=No)",Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Aragón,100
