"Year","Units","Series","Territorio","Value"
2018,"Kg per cápita","Residuos urbanos recogidos per cápita","Aragón",494.31
2017,"Kg per cápita","Residuos urbanos recogidos per cápita","Aragón",440.75
2019,"Kg per cápita","Residuos urbanos recogidos per cápita","Aragón",491.89
2013,"Kg per cápita","Residuos urbanos recogidos per cápita","España",467.69
2010,"Kg per cápita","Residuos urbanos recogidos per cápita","Aragón",448.15
2018,"Kg per cápita","Residuos urbanos recogidos per cápita","España",485.62
2017,"Kg per cápita","Residuos urbanos recogidos per cápita","España",484.09
2014,"Kg per cápita","Residuos urbanos recogidos per cápita","España",459.33
2021,"Kg per cápita","Residuos urbanos recogidos per cápita","España",478.95
2020,"Kg per cápita","Residuos urbanos recogidos per cápita","España",458.96
2016,"Kg per cápita","Residuos urbanos recogidos per cápita","España",471.24
2015,"Kg per cápita","Residuos urbanos recogidos per cápita","España",466.67
2011,"Kg per cápita","Residuos urbanos recogidos per cápita","Aragón",453.16
2015,"Kg per cápita","Residuos urbanos recogidos per cápita","Aragón",428.16
2021,"Kg per cápita","Residuos urbanos recogidos per cápita","Aragón",450.94
2019,"Kg per cápita","Residuos urbanos recogidos per cápita","España",483.39
2010,"Kg per cápita","Residuos urbanos recogidos per cápita","España",523.6
2014,"Kg per cápita","Residuos urbanos recogidos per cápita","Aragón",410.58
2011,"Kg per cápita","Residuos urbanos recogidos per cápita","España",498.16
2016,"Kg per cápita","Residuos urbanos recogidos per cápita","Aragón",401.93
2020,"Kg per cápita","Residuos urbanos recogidos per cápita","Aragón",450.3
2013,"Kg per cápita","Residuos urbanos recogidos per cápita","Aragón",411.1
2012,"Kg per cápita","Residuos urbanos recogidos per cápita","España",479.06
2012,"Kg per cápita","Residuos urbanos recogidos per cápita","Aragón",431.13
2016,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","Aragón",0
2014,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","Aragón",0
2014,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","España",11.8
2015,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","Aragón",0
2015,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","España",12.71
2021,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","España",10.85
2017,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","España",12.73
2019,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","España",10.99
2019,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","Aragón",0
2020,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","España",10.35
2018,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","España",11.59
2016,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","España",12.02
2017,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","Aragón",0
2021,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","Aragón",0.03
2020,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","Aragón",0
2018,"Porcentaje","Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados","Aragón",0
2019,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","España",51.05
2015,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","Aragón",71.33
2016,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","España",54.12
2020,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","Aragón",64.85
2021,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","Aragón",67.12
2017,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","España",51.16
2019,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","Aragón",68.9
2016,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","Aragón",72.08
2020,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","España",50.74
2018,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","España",53.39
2015,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","España",56.77
2018,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","Aragón",69.83
2021,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","España",46.87
2017,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","Aragón",70.13
2014,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","Aragón",70.95
2014,"Porcentaje","Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados","España",56.89
2019,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","Aragón",31.1
2019,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","España",37.96
2014,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","España",31.31
2017,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","España",36.11
2020,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","España",38.91
2017,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","Aragón",29.87
2021,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","Aragón",32.85
2016,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","Aragón",27.92
2014,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","Aragón",29.05
2018,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","Aragón",30.17
2016,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","España",33.86
2015,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","España",30.52
2015,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","Aragón",28.67
2021,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","España",42.28
2018,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","España",35.02
2020,"Porcentaje","Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados","Aragón",35.15
