"Year","Units","Series","Territorio","Value"
"2010","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","Aragón","6.85"
"2013","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","Aragón","3.82"
"2021","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","España","3.38"
"2017","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","España","4.18"
"2022","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","España","3.8"
"2019","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","España","3.91"
"2018","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","España","4.06"
"2016","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","España","4.07"
"2011","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","Aragón","5.36"
"2017","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","Aragón","5.63"
"2020","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","Aragón","4.88"
"2021","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","Aragón","3.68"
"2013","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","España","3.88"
"2020","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","España","3.09"
"2010","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","España","5.02"
"2022","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","Aragón","5.25"
"2019","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","Aragón","4.08"
"2016","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","Aragón","5.55"
"2011","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","España","4.53"
"2014","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","España","4.03"
"2014","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","Aragón","5.12"
"2015","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","España","4.05"
"2018","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","Aragón","5.85"
"2012","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","España","4.09"
"2012","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","Aragón","5"
"2015","Por 100.000 habitantes","Tasa de mortalidad por lesiones debidas a accidentes de tráfico","Aragón","4.01"
