"Year","Units","Series","Territorio","Value"
2012,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","Aragón",7.39
2018,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","España",7.58
2022,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","Aragón",8.54
2011,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","Aragón",6.62
2019,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","España",7.8
2012,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","España",7.57
2016,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","Aragón",8.59
2013,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","Aragón",7.35
2010,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","Aragón",7.07
2011,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","España",6.8
2022,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","España",8.84
2021,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","Aragón",8.57
2017,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","España",7.91
2015,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","España",7.77
2015,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","Aragón",9.92
2017,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","Aragón",7.6
2010,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","España",6.78
2014,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","Aragón",8.74
2018,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","Aragón",9.12
2021,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","España",8.45
2014,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","España",8.42
2019,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","Aragón",8.23
2013,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","España",8.31
2016,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","España",7.69
2020,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","Aragón",7.66
2020,"Por 100.000 habitantes","Tasa de mortalidad por suicidio","España",8.32
