"Year","Units","Series","Territorio","Value"
2011,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","España",25.63
2013,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","Aragón",16.95
2020,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","España",20.29
2021,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","España",20.38
2017,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","Aragón",17.52
2013,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","España",20.79
2011,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","Aragón",23.57
2016,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","España",21.35
2018,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","Aragón",12.5
2022,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","Aragón",20.43
2014,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","España",21.7
2010,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","España",25.08
2015,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","España",23.86
2016,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","Aragón",19.18
2015,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","Aragón",20.02
2012,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","España",25.26
2019,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","España",20.92
2010,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","Aragón",25.9
2021,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","Aragón",17.15
2020,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","Aragón",14.02
2019,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","Aragón",11.84
2018,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","España",20.79
2014,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","Aragón",18.63
2017,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","España",23.24
2012,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","Aragón",21.1
2022,"Microgramos por metro cúbico","Nivel medio de PM10 en las ciudades ponderado según la población","España",23.2
2011,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","España",13.91
2012,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","España",13.7
2019,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","Aragón",9.6
2015,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","Aragón",11.9
2015,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","España",13.4
2018,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","España",11.84
2020,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","España",10.72
2010,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","España",13.38
2022,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","España",11.35
2014,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","España",11.59
2010,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","Aragón",13.1
2016,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","Aragón",10.8
2012,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","Aragón",11.9
2013,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","Aragón",10.3
2019,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","España",11.93
2017,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","España",12.61
2021,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","Aragón",9.1
2022,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","Aragón",10.2
2020,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","Aragón",9.9
2011,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","Aragón",11.8
2016,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","España",11.36
2013,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","España",11.67
2017,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","Aragón",12.7
2018,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","Aragón",9.8
2021,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","España",10.35
2014,"Microgramos por metro cúbico","Nivel medio de PM2,5 en las ciudades ponderado según la población","Aragón",11
