"Year","Units","Series","Territorio","Value"
2011,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","Aragón",0
2016,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","Aragón",0.15
2018,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","España",0.22
2010,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","España",0.15
2014,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","España",0.06
2011,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","España",0.11
2012,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","Aragón",0.15
2020,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","Aragón",0.07
2022,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","Aragón",0.52
2010,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","Aragón",0.15
2022,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","España",0.32
2013,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","España",0.1
2021,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","España",0.13
2019,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","España",0.16
2015,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","Aragón",0
2013,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","Aragón",0
2014,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","Aragón",0.08
2021,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","Aragón",0.15
2012,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","España",0.12
2018,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","Aragón",0.23
2020,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","España",0.12
2017,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","Aragón",0.15
2019,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","Aragón",0.53
2017,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","España",0.12
2015,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","España",0.17
2016,"Por 100.000 habitantes","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes","España",0.12
