"Year","Units","Series","Territorio","Value"
"2019","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","Aragón","2.59"
"2016","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","España","3.27"
"2016","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","Aragón","3.48"
"2022","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","España","3.34"
"2020","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","Aragón","2.64"
"2011","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","Aragón","5.15"
"2014","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","España","3.41"
"2012","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","Aragón","2.75"
"2017","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","España","3.26"
"2010","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","España","3.87"
"2010","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","Aragón","4.02"
"2013","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","Aragón","2.66"
"2011","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","España","3.81"
"2018","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","Aragón","2.61"
"2015","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","España","3.16"
"2020","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","España","3.13"
"2014","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","Aragón","3.19"
"2015","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","Aragón","3.44"
"2021","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","Aragón","2.64"
"2018","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","España","3.29"
"2012","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","España","3.72"
"2013","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","España","3.37"
"2022","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","Aragón","3.23"
"2019","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","España","3.27"
"2017","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","Aragón","2.85"
"2021","Por 1.000 nacidos vivos","Tasa de mortalidad de menores de 5 años","España","3.06"
