"Year","Units","Series","Territorio","Value"
2012,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","Aragón",2.89
2021,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","Aragón",3.35
2015,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","Aragón",2.52
2014,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","Aragón",2.8
2019,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","Aragón",2.97
2010,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","España",6.53
2016,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","Aragón",2.46
2020,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","Aragón",3.2
2017,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","Aragón",2.68
2013,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","Aragón",2.82
2019,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","España",9.32
2017,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","España",8.21
2013,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","España",6.53
2011,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","España",7.24
2016,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","España",7.99
2012,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","España",7.11
2018,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","Aragón",2.7
2011,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","Aragón",3.44
2020,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","España",9.65
2014,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","España",6.75
2015,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","España",7.79
2018,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","España",8.88
2021,"Porcentaje","Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible","España",10.41
