Year,Units,Series,Territorio,Value
2014,Hectáreas,Superficie forestal con instrumentos de gestión sostenible vigentes,España,4400309.38
2018,Hectáreas,Superficie forestal con instrumentos de gestión sostenible vigentes,Aragón,67.15
2015,Hectáreas,Superficie forestal con instrumentos de gestión sostenible vigentes,España,4611684.49
2017,Hectáreas,Superficie forestal con instrumentos de gestión sostenible vigentes,España,5124970.35
2016,Hectáreas,Superficie forestal con instrumentos de gestión sostenible vigentes,Aragón,63.8
2018,Hectáreas,Superficie forestal con instrumentos de gestión sostenible vigentes,España,5167697.4
2017,Hectáreas,Superficie forestal con instrumentos de gestión sostenible vigentes,Aragón,81.57
2016,Hectáreas,Superficie forestal con instrumentos de gestión sostenible vigentes,España,4804161.96
2019,Hectáreas,Superficie forestal con instrumentos de gestión sostenible vigentes,España,5527016.0
2019,Hectáreas,Superficie forestal con instrumentos de gestión sostenible vigentes,Aragón,148.87
2014,Hectáreas,Superficie forestal con instrumentos de gestión sostenible vigentes,Aragón,70.62
2015,Hectáreas,Superficie forestal con instrumentos de gestión sostenible vigentes,Aragón,76.14
2014,Porcentaje,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Aragón,2.7
2018,Porcentaje,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Aragón,2.57
2014,Porcentaje,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,15.86
2019,Porcentaje,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,19.76
2018,Porcentaje,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,18.48
2016,Porcentaje,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Aragón,2.44
2015,Porcentaje,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Aragón,2.91
2017,Porcentaje,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Aragón,3.12
2016,Porcentaje,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,17.28
2019,Porcentaje,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,Aragón,5.69
2017,Porcentaje,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,18.33
2015,Porcentaje,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,16.58
