Year,Units,Series,Territorio,Value
2012,Euros,Valor añadido del sector manufacturero per cápita,España,2463.77
2016,Euros,Valor añadido del sector manufacturero per cápita,Aragón,4016.24
2012,Euros,Valor añadido del sector manufacturero per cápita,Aragón,3413.64
2011,Euros,Valor añadido del sector manufacturero per cápita,Aragón,3745.68
2014,Euros,Valor añadido del sector manufacturero per cápita,España,2505.82
2011,Euros,Valor añadido del sector manufacturero per cápita,España,2618.51
2019,Euros,Valor añadido del sector manufacturero per cápita,Aragón,4637.56
2015,Euros,Valor añadido del sector manufacturero per cápita,España,2623.82
2017,Euros,Valor añadido del sector manufacturero per cápita,España,2829.62
2021,Euros,Valor añadido del sector manufacturero per cápita,España,2577.04
2013,Euros,Valor añadido del sector manufacturero per cápita,España,2477.71
2020,Euros,Valor añadido del sector manufacturero per cápita,Aragón,4265.2
2010,Euros,Valor añadido del sector manufacturero per cápita,España,2671.08
2018,Euros,Valor añadido del sector manufacturero per cápita,España,2785.41
2019,Euros,Valor añadido del sector manufacturero per cápita,España,2781.13
2017,Euros,Valor añadido del sector manufacturero per cápita,Aragón,4267.82
2014,Euros,Valor añadido del sector manufacturero per cápita,Aragón,3882.79
2010,Euros,Valor añadido del sector manufacturero per cápita,Aragón,3821.08
2020,Euros,Valor añadido del sector manufacturero per cápita,España,2432.35
2018,Euros,Valor añadido del sector manufacturero per cápita,Aragón,4511.18
2015,Euros,Valor añadido del sector manufacturero per cápita,Aragón,3941.83
2013,Euros,Valor añadido del sector manufacturero per cápita,Aragón,3562.7
2016,Euros,Valor añadido del sector manufacturero per cápita,España,2682.66
2012,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,Aragón,14.32
2019,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,Aragón,16.13
2014,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,Aragón,15.97
2013,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,España,11.14
2020,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,Aragón,16.09
2011,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,Aragón,15.09
2012,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,España,11.09
2010,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,Aragón,15.18
2018,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,Aragón,16.1
2016,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,España,11.22
2020,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,España,10.82
2011,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,España,11.44
2017,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,España,11.52
2014,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,España,11.22
2018,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,España,11.13
2016,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,Aragón,15.46
2015,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,Aragón,15.85
2010,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,España,11.53
2015,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,España,11.3
2021,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,España,10.9
2019,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,España,10.97
2013,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,Aragón,14.82
2017,Porcentaje,Valor añadido del sector manufacturero en proporción al PIB,Aragón,15.76
